id,officialName,nickname,operator,servicePopulation,serviceCategory,admissionType,lockedStatus,dropIn,dropInNotes,dropOff,dropOffNotes,acceptedFrom,acceptedFromNotes,intakeComplexity,medicalClearance,eligibilitySummary,lengthOfStay,bedsDph,capacityConstraints,programAddress,intakeAddress,waitLocation,hoursOperation,hoursIntake,transportIn,transportOut,transportSupport,serviceRegion,neighborhood,primaryServiceArea,contact,mvp,adaAccessible,keyAccessNotes
pes,Psychiatric Emergency Services,PES,ZSFG PES,MH,MH Acute,Both,Both,Yes,Through ED triage,Yes,Through ED,Self|Police|EMS|Hospital/ED,All patients go through ED triage,Brief Screening,Through ED,18+ (under 18 rare); accepts holds; must come via ED/POL/EMS,<24 hours,19,Yes,"1001 Potrero Ave, San Francisco, CA","1001 Potrero Ave, San Francisco, CA",Inside,24/7,24/7,Ambulance; Police; EMS; CM-escorted taxi/uber,Taxi to shelter/clinic; Ambulance,None (ED/ambulance pathway),All SF,Mission,Citywide,628-206-8000,FALSE,Yes,Cannot walk in clients on 5150; pathway to psych hospitalization
geary_822,Geary Stabilization Unit,822 Geary,Crestwood Behavioral Health Inc.,MH,MH Acute,Voluntary,Unlocked,Yes,,Yes,Call ahead encouraged,StreetTeams|Police|EMS|Self|Community,Self limited; Community limited; call ahead encouraged,Brief Screening,Quick assessment,18+; able to follow directions; non-violent; ambulatory or assistive device; can manage most ADLs,<24 hours,16,Yes,"822 Geary St, San Francisco, CA","822 Geary St, San Francisco, CA",Inside,24/7,24/7,Call ahead encouraged; drop-off allowed,Community Forward van,Community Forward van to next destination,TL & SOMA-focus,TL/Lower Nob Hill,TL/SOMA (intended focus),822geary@sfdph.org,TRUE,Yes,Prioritize SCRT/police/EMS referrals; discouraging self-referrals; ramping up capacity
ducc,Progress Foundation Dore Urgent Care Center,DUCC,Progress Foundation,MH,MH Acute,Voluntary,Unlocked,Yes,,Yes,,Self|StreetTeams|Police|Community,Call ahead encouraged; police must wait for chart review,Brief Screening,COVID/medical screening,18+; MH crisis but not 5150; ambulatory/assistive OK; ADL independent; no insulin/IM shots,<24 hours,9,Yes,"52 Dore St, San Francisco, CA","52 Dore St, San Francisco, CA",Outside,24/7,24/7 (until full),Self-present; call ahead encouraged,Uber to ADU,None,All SF,SOMA,TL/SOMA/Mission,(415) 553-3100,TRUE,Yes,Frequently full; exclusion list; police must wait entire time for chart review
edgewood,Edgewood Crisis Stabilization,Edgewood,Edgewood,MH (Youth),MH Acute,Both,Both,Yes,,Yes,,Self|Police|Hospital/ED,Caregiver|Provider|School referrals accepted; Police via Child Crisis,Full Assessment Required,Medical screening for clearance,Ages 6-17; WETT criteria; ambulatory; ADL independent; at risk of harming self/others,<24 hours,2,No,"1801 Vicente St, San Francisco, CA","2681 28th Avenue, San Francisco, CA",Inside,24/7,24/7,Transportation support provided,Transportation support provided,Transportation support provided,Citywide,Parkside/Sunset,Citywide,415-682-3278,FALSE,Yes,EHR not fully integrated; only 4 beds; consent 12+ can self-consent; med clearance and clinical assessment
hr360_wm_med,HR360 Adult Res 815 Withdrawal Management - Medical,HR360 WM,HR360,SUD,SUD WM,Voluntary,Unlocked,Yes,Intake site only,Yes,Intake site only,Self|BHACAuthorized|Police|StreetTeams|Hospital/ED,Police M-F 8:30-5 only; must go to intake site first,Full Assessment Required,TB clearance required,SF residents; ASAM urgent WM; ambulatory; ADL independent; 18+; no acute med/psych urgency,>24 hours,26,Yes,"815 Buena Vista Ave West, San Francisco, CA","1563 Mission St, San Francisco, CA",Wait at intake site (1563 Mission),24/7,M-F 8:30am-4:00pm,Must go to intake site first,HR360 vans to facility,HR360 vans between intake and facility,Citywide,Lower Haight/Bernal,Citywide,,FALSE,Yes,Cannot drop off at 815 directly; MAT assessment bottleneck; may be turned away due to staff/bed capacity; Drop-in at intake; voicemail not monitored
hr360_wm_soc,HR360 Adult Res 815 Withdrawal Management - Social,HR360 WM,HR360,SUD,SUD WM,Voluntary,Unlocked,Yes,Intake site only,Yes,Intake site only,Self|BHACAuthorized|Police|StreetTeams|Hospital/ED,Police M-F 8:30-5 only; must go to intake site first,Full Assessment Required,TB clearance required,SF residents; ASAM urgent WM; ambulatory; ADL independent; 18+; no acute med/psych urgency,>24 hours,22,Yes,"815 Buena Vista Ave West, San Francisco, CA","1563 Mission St, San Francisco, CA",Wait at intake site (1563 Mission),24/7,M-F 8:30am-4:00pm,Must go to intake site first,HR360 vans to facility,HR360 vans between intake and facility,Citywide,Lower Haight/Bernal,Citywide,,FALSE,Yes,Same as medical WM; no daily notes visible to DPH; Drop-in at intake; voicemail not monitored
hummingbird_potrero,Hummingbird - Potrero,Hummingbird - Potrero,PRC Baker Places,MH,Respite,Voluntary,Unlocked,Yes,,Yes,Overnight via hospital,StreetTeams|Police|Hospital/ED,Overnight hospital only; Police limited via street teams,Pre-Authorization Required (overnight),TB clearance + critter clearance,SF resident; uninsured or city/state benefits; income preferred; MH challenges; unhoused; ambulatory; ADL independent,<24 hours,29,Yes,"887 Potrero Ave, San Francisco, CA","887 Potrero Ave, San Francisco, CA",N/A - taxi from hospital,24/7,M-F 10:00 AM - 7:00 PM,Taxi from hospital for overnight,No (may provide tokens),Taxi vouchers from hospital,All SF,On General hospital campus,Citywide (prioritizes hospital discharges),(415) 777-0333,TRUE,Yes,RSOC pre-auth barrier; high AWOL risk; no EHR; limited police referral
hummingbird_valencia,Hummingbird - Valencia,Hummingbird - Valencia,PRC Baker Places,MH,Respite,Voluntary,Unlocked,Yes,,Yes,Overnight via hospital,StreetTeams|Police|Hospital/ED,Overnight hospital only; Police limited via street teams,Pre-Authorization Required (overnight),TB clearance + critter clearance,SF resident; uninsured or city/state benefits; income preferred; MH challenges; unhoused; ambulatory; ADL independent,<24 hours,28,Yes,"1156 Valencia St, San Francisco, CA","1156 Valencia St, San Francisco, CA",N/A - taxi or self-transport,24/7,M-F 10:00 AM - 7:00 PM,Taxi from hospital for overnight,No (may provide tokens),Taxi vouchers from hospital (high AWOL risk),Mission-focus,Mission,Mission neighborhood prioritized + hospital,415-519-7541 (clinical); 415-329-2005,TRUE,Yes,RSOC pre-auth barrier; working to remove approval process; no EHR integration affects care coordination
sobering_center,SFDPH Sobering Center,DPH Sobering,Community Forward + DPH,SUD,SUD Subacute,Voluntary,Unlocked,Yes,Citywide CM walk-in,Yes,Drop-off preferred,Police|EMS|Hospital/ED|Self,Walk-in for Citywide CM clients only,Brief Screening,Limited - basic medical triage,18+; acutely intoxicated on alcohol; not in withdrawal; not incontinent; ADL independent,<24 hours,12,Yes,"1171 Mission St, San Francisco, CA","1185 Mission St, San Francisco, CA",Inside,24/7,24/7,Cab from ED; EMS/police,No,Major gap - SORT ending/CES van cut,All SF,SOMA,Citywide,628-754-9625; 415-218-9109,TRUE,Yes,Transport is major gap; technically drop-in only for Citywide clients; ROS exclusion list; may go on divert if unsafe staffing
soma_rise,SoMa RISE,SoMa RISE,HR360,SUD,SUD Subacute,Voluntary,Unlocked,Yes,,Yes,,Self|StreetTeams|Police,,Immediate Walk-through,None - basic vital signs only,18+; actively using substances; unhoused/marginally housed; ambulatory; able to consent; non-violent; can follow instructions,<24 hours,20,No,"1076 Howard St, San Francisco, CA","1076 Howard St, San Francisco, CA",Inside,24/7,24/7,Self/walk-in,Community Forward van to WM/822 Geary,Community Forward van to WM/822 Geary,TL & SOMA-focus,SOMA,SoMa/Tenderloin primarily,(415) 988-2156,TRUE,Yes,Designated beds for SCRT (3) and street teams (2); low-threshold
